quarter,industry,investment,pm_share_net,pm_share_gross,is_manufacturing,regime,npv,r,discrete,log_investment,treat
2015Q3,Health and social work,1045,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,6.951772164398911,0.017104680228630473
2015Q4,Health and social work,1067,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,6.9726062513017535,0.017104680228630473
2016Q1,Health and social work,1008,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,6.915723448631314,0.017104680228630473
2016Q2,Health and social work,1081,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,6.985641817639208,0.017104680228630473
2016Q3,Health and social work,1179,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.072421900537371,0.017104680228630473
2016Q4,Health and social work,1128,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.028201432058005,0.017104680228630473
2017Q1,Health and social work,1223,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.109062135687172,0.017104680228630473
2017Q2,Health and social work,1189,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.080867896690782,0.017104680228630473
2017Q3,Health and social work,1236,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.119635638017636,0.017104680228630473
2017Q4,Health and social work,1093,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,6.996681488176539,0.017104680228630473
2018Q1,Health and social work,1510,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.31986492980897,0.017104680228630473
2018Q2,Health and social work,1204,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.093404625868766,0.017104680228630473
2018Q3,Health and social work,1279,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.153833801578843,0.017104680228630473
2018Q4,Health and social work,1347,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.205635176410364,0.017104680228630473
2019Q1,Health and social work,1195,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.085901464365611,0.017104680228630473
2019Q2,Health and social work,1338,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.198931240688173,0.017104680228630473
2019Q3,Health and social work,1270,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.146772179452637,0.017104680228630473
2019Q4,Health and social work,1331,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.193685818395112,0.017104680228630473
2020Q1,Health and social work,1343,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.202661196523238,0.017104680228630473
2021Q1,Health and social work,1254,0.1150314752217839,0.1547983353823041,False,pre,0.148695652173913,0.05,False,7.134093721192866,0.017104680228630473
2021Q2,Health and social work,1303,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.172424577124845,0.028412774379780625
2021Q3,Health and social work,1258,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.1372784372603855,0.028412774379780625
2021Q4,Health and social work,1254,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.134093721192866,0.028412774379780625
2022Q1,Health and social work,1295,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.166265974133638,0.028412774379780625
2022Q2,Health and social work,1259,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.138073034044347,0.028412774379780625
2022Q3,Health and social work,1158,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.05444965813294,0.028412774379780625
2022Q4,Health and social work,1170,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.064759027791802,0.028412774379780625
2023Q1,Health and social work,1494,0.1150314752217839,0.1547983353823041,False,super_deduction,0.247,0.05,False,7.309212365692763,0.028412774379780625
2023Q2,Health and social work,1217,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,7.104144092987527,0.028757868805445976
2023Q3,Health and social work,1062,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.967909201801884,0.028757868805445976
2023Q4,Health and social work,1080,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.984716320118266,0.028757868805445976
2024Q1,Health and social work,1047,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.953684210870537,0.028757868805445976
2024Q2,Health and social work,1061,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.966967138613983,0.028757868805445976
2024Q3,Health and social work,954,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.860663671448287,0.028757868805445976
2024Q4,Health and social work,779,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.658011045870748,0.028757868805445976
2025Q1,Health and social work,1115,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,7.016609683894219,0.028757868805445976
2025Q2,Health and social work,1049,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.955592608396297,0.028757868805445976
2025Q3,Health and social work,1033,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,6.940222469119639,0.028757868805445976
2025Q4,Health and social work,1164,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,7.059617628291383,0.028757868805445976
2026Q1,Health and social work,1180,0.1150314752217839,0.1547983353823041,False,full_expensing,0.25,0.05,False,7.07326971745971,0.028757868805445976
2015Q1,Hotels and restaurants,1290,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.162397497355718,0.017692911012462245
2015Q2,Hotels and restaurants,1287,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.160069207596127,0.017692911012462245
2015Q3,Hotels and restaurants,1481,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.300472814267799,0.017692911012462245
2015Q4,Hotels and restaurants,1694,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.434847875211999,0.017692911012462245
2016Q1,Hotels and restaurants,1675,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.423568444259167,0.017692911012462245
2016Q2,Hotels and restaurants,1608,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.382746449738912,0.017692911012462245
2016Q3,Hotels and restaurants,1850,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.52294091807237,0.017692911012462245
2016Q4,Hotels and restaurants,1673,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.422373700986824,0.017692911012462245
2017Q1,Hotels and restaurants,1831,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.5126175446745105,0.017692911012462245
2017Q2,Hotels and restaurants,1815,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.503840746698951,0.017692911012462245
2017Q3,Hotels and restaurants,1702,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.43955930913332,0.017692911012462245
2017Q4,Hotels and restaurants,1449,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.278628942320682,0.017692911012462245
2018Q1,Hotels and restaurants,1723,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.45182223652793,0.017692911012462245
2018Q2,Hotels and restaurants,1676,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.424165281042028,0.017692911012462245
2018Q3,Hotels and restaurants,1711,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.444833273892193,0.017692911012462245
2018Q4,Hotels and restaurants,1910,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.554858521040676,0.017692911012462245
2019Q1,Hotels and restaurants,1701,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.438971592395862,0.017692911012462245
2019Q2,Hotels and restaurants,1526,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.330405211844402,0.017692911012462245
2019Q3,Hotels and restaurants,1503,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.315218389752975,0.017692911012462245
2019Q4,Hotels and restaurants,1637,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.400620577371135,0.017692911012462245
2020Q1,Hotels and restaurants,1879,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,7.538494999413465,0.017692911012462245
2021Q1,Hotels and restaurants,743,0.1189874132417052,0.1380098528065959,False,pre,0.148695652173913,0.05,False,6.610696044717759,0.017692911012462245
2021Q2,Hotels and restaurants,1052,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,6.9584483932976555,0.029389891070701182
2021Q3,Hotels and restaurants,1039,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,6.946013991099227,0.029389891070701182
2021Q4,Hotels and restaurants,1317,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,7.183111701743281,0.029389891070701182
2022Q1,Hotels and restaurants,1309,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,7.1770187659099,0.029389891070701182
2022Q2,Hotels and restaurants,1677,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,7.424761761823209,0.029389891070701182
2022Q3,Hotels and restaurants,1304,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,7.1731917424865985,0.029389891070701182
2022Q4,Hotels and restaurants,1629,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,7.395721608602045,0.029389891070701182
2023Q1,Hotels and restaurants,1417,0.1189874132417052,0.1380098528065959,False,super_deduction,0.247,0.05,False,7.256297239690681,0.029389891070701182
2023Q2,Hotels and restaurants,1363,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.217443431696533,0.0297468533104263
2023Q3,Hotels and restaurants,1435,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.268920128193722,0.0297468533104263
2023Q4,Hotels and restaurants,1300,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.170119543449628,0.0297468533104263
2024Q1,Hotels and restaurants,1718,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.4489161025442,0.0297468533104263
2024Q2,Hotels and restaurants,1951,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.576097340623111,0.0297468533104263
2024Q3,Hotels and restaurants,1478,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.298445101508147,0.0297468533104263
2024Q4,Hotels and restaurants,1560,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.352441100243583,0.0297468533104263
2025Q1,Hotels and restaurants,1374,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.2254814727822945,0.0297468533104263
2025Q2,Hotels and restaurants,1671,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.421177528595393,0.0297468533104263
2025Q3,Hotels and restaurants,1913,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.556427969440253,0.0297468533104263
2025Q4,Hotels and restaurants,1763,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.47477218239787,0.0297468533104263
2026Q1,Hotels and restaurants,1648,0.1189874132417052,0.1380098528065959,False,full_expensing,0.25,0.05,False,7.4073177104694174,0.0297468533104263
2015Q1,Information and communication,5020,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.521185212685776,0.04732863366262853
2015Q2,Information and communication,5372,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.588955557643128,0.04732863366262853
2015Q3,Information and communication,5582,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.627302414096267,0.04732863366262853
2015Q4,Information and communication,6311,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.75004942158424,0.04732863366262853
2016Q1,Information and communication,7629,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.93971205409023,0.04732863366262853
2016Q2,Information and communication,7931,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,8.97853441008332,0.04732863366262853
2016Q3,Information and communication,8566,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,9.055556158175316,0.04732863366262853
2016Q4,Information and communication,8386,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,9.034318927730707,0.04732863366262853
2017Q1,Information and communication,8687,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,9.06958293425992,0.04732863366262853
2017Q2,Information and communication,8841,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,9.087155271405804,0.04732863366262853
2017Q3,Information and communication,8371,0.3182919807720633,0.3277649897326042,False,pre,0.148695652173913,0.05,False,9.032528630660057,0.04732863366262853
